id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,zipcode,lat,long,dormitory_type,preco_compra,preco_venda,lucro
7129300520,2014-10-13,3,1.0,1180,5650,1.0,0,98178,47.5112,-122.257,house,199710.0,259623.0,59913.0
4060000240,2014-06-23,2,1.0,880,6780,1.0,0,98178,47.5009,-122.248,apartment,184882.5,240347.25,55464.75
2976800796,2014-09-25,3,1.0,1300,5898,1.0,0,98178,47.5053,-122.255,house,212400.0,276120.0,63720.0
6874200960,2015-02-27,2,1.0,860,5265,1.0,0,98178,47.5048,-122.272,apartment,153000.0,198900.0,45900.0
4268200055,2015-05-01,3,1.75,1740,11547,1.0,0,98178,47.4945,-122.22,house,220500.0,286650.0,66150.0
3969300030,2014-07-23,4,1.0,1000,7134,1.0,0,98178,47.4897,-122.24,house,148500.0,193050.0,44550.0
3969300030,2014-12-29,4,1.0,1000,7134,1.0,0,98178,47.4897,-122.24,house,215910.0,280683.0,64773.0
1180003090,2014-09-06,2,1.0,630,6000,1.0,0,98178,47.4973,-122.221,apartment,171000.0,222300.0,51300.0
561000075,2014-12-31,3,1.0,1180,5350,1.5,0,98178,47.505,-122.259,house,234000.0,304200.0,70200.0
3348401740,2015-01-27,2,1.5,1120,17487,1.0,0,98178,47.5024,-122.271,apartment,169200.0,219960.0,50760.0
5476200160,2014-07-25,3,1.0,1250,5411,1.0,0,98178,47.5064,-122.265,house,148327.2,192825.36000000002,44498.16
2171400126,2014-06-05,3,1.0,1690,4250,1.0,0,98178,47.4945,-122.258,house,242100.0,314730.0,72630.0
3352402236,2014-12-15,3,2.0,1150,6000,1.0,0,98178,47.498,-122.263,house,252500.0,328250.0,75750.0
7812800310,2014-06-25,2,1.0,1120,5650,1.0,0,98178,47.4979,-122.241,apartment,234000.0,304200.0,70200.0
2171400218,2015-04-16,4,1.5,1280,8000,1.0,0,98178,47.4949,-122.255,house,220500.0,286650.0,66150.0
185000118,2015-02-23,4,2.0,1880,7500,1.0,0,98178,47.495,-122.266,house,212000.0,275600.0,63600.0
3810000860,2015-05-06,4,1.5,1920,7973,1.0,0,98178,47.4961,-122.235,house,216000.0,280800.0,64800.0
3810000565,2014-07-02,4,2.0,2430,8960,1.0,0,98178,47.4979,-122.232,house,229500.0,298350.0,68850.0
179000350,2014-11-05,3,1.5,1010,5000,1.0,0,98178,47.4925,-122.278,house,174600.0,226980.0,52380.0
3810000202,2014-09-05,3,2.25,1810,11800,1.0,0,98178,47.4997,-122.231,house,226530.0,294489.0,67959.0
4058802105,2014-09-04,3,1.0,1450,6776,1.0,0,98178,47.5056,-122.244,house,135000.0,175500.0,40500.0
3810000465,2014-05-20,2,1.0,1770,5522,1.5,0,98178,47.4974,-122.231,apartment,218700.0,284310.0,65610.0
179003055,2014-11-13,3,1.0,1200,7500,1.0,0,98178,47.4921,-122.275,house,189000.0,245700.0,56700.0
3352400004,2015-01-29,2,1.0,720,5880,1.0,0,98178,47.5056,-122.27,apartment,166050.0,215865.0,49815.0
3352401981,2014-05-21,4,2.0,2030,8120,2.0,0,98178,47.4994,-122.261,house,179100.0,232830.0,53730.0
5476200123,2014-07-10,4,2.0,2090,6630,1.0,0,98178,47.5077,-122.268,house,180000.0,234000.0,54000.0
3800008,2015-02-24,5,1.5,1990,18200,1.0,0,98178,47.4938,-122.262,house,160200.0,208260.0,48060.0
2172000750,2014-05-27,2,1.0,1180,9350,1.0,0,98178,47.4889,-122.259,apartment,144000.0,187200.0,43200.0
7813200115,2014-09-04,2,1.0,790,6426,1.0,0,98178,47.4933,-122.245,apartment,90000.0,117000.0,27000.0
3352402250,2014-10-21,2,1.0,700,3180,1.0,0,98178,47.4976,-122.262,apartment,107910.0,140283.0,32373.0
7657000165,2014-07-30,4,1.0,1070,7467,1.5,0,98178,47.4942,-122.235,house,180000.0,234000.0,54000.0
399000195,2014-10-20,3,1.0,960,7500,1.0,0,98178,47.4966,-122.255,house,180000.0,234000.0,54000.0
3348401584,2014-08-21,3,1.75,1400,7300,2.0,0,98178,47.4999,-122.268,house,189000.0,245700.0,56700.0
399000025,2015-04-15,3,1.0,1360,5967,1.0,0,98178,47.4973,-122.256,house,238500.0,310050.0,71550.0
9368700031,2014-05-09,2,1.0,720,18000,1.0,0,98178,47.5054,-122.261,apartment,175500.0,228150.0,52650.0
3352402195,2014-07-16,3,1.0,890,7110,1.0,0,98178,47.4971,-122.261,house,152100.0,197730.0,45630.0
2328800130,2014-12-17,3,1.75,1900,7680,1.0,0,98178,47.5081,-122.266,house,198000.0,257400.0,59400.0
8068000585,2014-08-27,2,1.0,880,5600,1.0,0,98178,47.5071,-122.265,apartment,235000.0,305500.0,70500.0
7129300420,2014-12-02,3,1.75,1040,5650,1.0,0,98178,47.5111,-122.256,house,258000.0,335400.0,77400.0
4060000440,2015-02-04,3,1.0,880,6050,1.0,0,98178,47.4995,-122.248,house,216900.0,281970.0,65070.0
185000161,2014-10-15,3,1.0,1780,7800,1.0,0,98178,47.4932,-122.263,house,234900.0,305370.0,70470.0
8068000305,2014-11-04,3,1.0,1150,10000,1.0,0,98178,47.5075,-122.262,house,216900.0,281970.0,65070.0
1180008315,2014-07-15,3,1.0,1040,6800,1.0,0,98178,47.492,-122.224,house,212000.0,275600.0,63600.0
7657000225,2014-07-19,3,1.0,860,7467,1.0,0,98178,47.4947,-122.237,house,184500.0,239850.0,55350.0
3352400330,2015-03-27,2,1.0,1810,10360,1.0,0,98178,47.5039,-122.266,apartment,194400.0,252720.0,58320.0
4136800205,2015-02-19,2,2.0,750,6553,1.5,0,98178,47.4982,-122.221,apartment,232200.0,301860.0,69660.0
7812800865,2014-11-19,2,1.0,810,9882,1.0,0,98178,47.4925,-122.239,apartment,153000.0,198900.0,45900.0
7657600195,2014-11-05,3,1.0,1340,7260,1.5,0,98178,47.4934,-122.237,house,179955.0,233941.5,53986.5
7812801115,2014-06-13,3,1.0,1270,6405,1.5,0,98178,47.4959,-122.241,house,137700.0,179010.0,41310.0
9282800065,2015-03-29,3,1.75,1190,6000,1.0,0,98178,47.5026,-122.236,house,182700.0,237510.0,54810.0
3348401095,2015-04-27,4,1.75,2090,6485,1.0,0,98178,47.4958,-122.265,house,189000.0,245700.0,56700.0
2144800615,2014-06-25,1,0.75,930,29258,1.0,0,98178,47.4837,-122.236,studio,171000.0,222300.0,51300.0
2520900301,2014-10-22,3,1.0,1070,5750,1.0,0,98178,47.5071,-122.255,house,215370.0,279981.0,64611.0
2172000846,2014-06-19,4,2.0,2080,13510,1.0,0,98178,47.4918,-122.258,house,223200.0,290160.0,66960.0
7812800515,2014-10-25,4,1.5,1580,6200,1.0,0,98178,47.4971,-122.24,house,143167.5,186117.75,42950.25
3352400325,2014-07-24,3,1.5,1220,8345,1.5,0,98178,47.5038,-122.266,house,202500.0,263250.0,60750.0
1180007005,2014-06-25,3,1.5,1150,8450,1.0,0,98178,47.4927,-122.224,house,239355.0,311161.5,71806.5
179001425,2014-10-24,3,1.75,1420,3000,1.0,0,98178,47.4928,-122.274,house,207000.0,269100.0,62100.0
4058801065,2014-08-08,3,2.0,1200,5700,1.0,0,98178,47.5031,-122.242,house,272000.0,353600.0,81600.0
7812800775,2014-09-10,3,1.0,1420,7420,1.5,0,98178,47.4949,-122.239,house,237825.0,309172.5,71347.5
2144800117,2014-06-26,4,2.25,2600,9900,1.0,0,98178,47.4881,-122.237,house,243000.0,315900.0,72900.0
4058801230,2015-03-05,4,1.75,1270,6825,1.0,0,98178,47.5051,-122.242,house,230400.0,299520.0,69120.0
7812801925,2014-06-24,4,1.75,1850,6000,1.0,0,98178,47.4923,-122.247,house,207000.0,269100.0,62100.0
